term,definition,notes,category,theme_primary,register,authority_requirement,proof_type,exposure_cost,overuse_penalty,silence_preferred_when_blocked,replacement_if_blocked,cultural_specificity,scene_weight,era_scene,usage_mode,rap_shorthand_term
Common Themes / Specific Terms,Cultural Significance,"Category motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,CTST
Rolex,"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,ice / timepiece / wrist,scene,0.5,modern,implication,Roley
AP (Audemars Piguet),"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,ice / timepiece / wrist,scene,0.5,modern,implication,AP
Patek Philippe,"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,ice / timepiece / wrist,scene,0.5,modern,implication,Patek
Richard Mille,"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,RM
"Cartier (""Cartis"").","Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,foreign / performance whip / coupe,scene,0.5,modern,implication,Carti
The Trap,References to the drug trade as a survival mechanism or a foundation for wealth.,"The ""Hustle"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TT
The Kitchen,References to the drug trade as a survival mechanism or a foundation for wealth.,"The ""Hustle"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TK
"""Water"" (diamonds or high purity)",References to the drug trade as a survival mechanism or a foundation for wealth.,"The ""Hustle"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,WDOHP
"""Weight"" (bulk product).",References to the drug trade as a survival mechanism or a foundation for wealth.,"The ""Hustle"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,WBP
Swipe,"Swipe — a luxury-culture reference used to signal taste, access, or status.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Swipe
Method,"Method — a luxury-culture reference used to signal taste, access, or status.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Method
Bin,"Bin — a luxury-culture reference used to signal taste, access, or status.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Bin
CashApp,"CashApp — a luxury-culture reference used to signal taste, access, or status.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Cashapp
Bitcoin,"Bitcoin — a luxury-culture reference used to signal taste, access, or status.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Bitcoin
"""The Dark Web","""The Dark Web — a luxury-culture reference used to signal taste, access, or status.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TDW
""" VPN.",""" VPN. — a luxury-culture reference used to signal taste, access, or status.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Vpn
Rick Owens,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,pattern / logo print / outerwear,scene,0.5,modern,implication,Rick
Maison Margiela,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,pattern / logo print / outerwear,scene,0.5,modern,implication,MM
Chrome Hearts,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,pattern / logo print / outerwear,scene,0.5,modern,implication,Chrome
