Theme,Common Jargon / Brands,Context & Meaning,Typical Lyric Motif
Category,Common Themes / Specific Terms,Cultural Significance,
Luxury Horology,"Rolex, AP (Audemars Piguet), Patek Philippe, Richard Mille, Cartier (""Cartis"").","Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""",
"The ""Hustle""","The Trap, The Kitchen, ""Water"" (diamonds or high purity), ""Weight"" (bulk product).",References to the drug trade as a survival mechanism or a foundation for wealth.,
Digital Finance,"Swipe, Method, Bin, CashApp, Bitcoin, ""The Dark Web,"" VPN.","""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.",
High Fashion,"Rick Owens, Maison Margiela, Chrome Hearts, Celine, Saint Laurent.","Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""",
Footwear,"Jordan 1s, Yeezys, ""Red Bottoms"" (Christian Louboutin), Bape Stas.","Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.",
"The ""Ops"" & Conflict","Opps (Opposition), ""Drilling,"" ""Spinning the block,"" ""Smoke"" (conflict).",The reality of neighborhood rivalries and the dangers of fame.,
Legal & Prison,"Indictment, RICO act, ""The Feds,"" Lawyer fees, ""Going up top.""",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,
Geography,"Area codes (313, 212, 404), ""The 6"" (Toronto), ""The Town,"" ""The A.""","Local pride and establishing ""territory"" or ""home court advantage.""",
Vice & Substances,"Wockhardt/Lean (Purple Drank), ""Gas/Zaza"" (high-grade weed), Percocet, ""Addy.""","Often used to discuss escapism, addiction, or the partying lifestyle.",
Loyalty & Betrayal,"Snitching, ""Ratting,"" ""Day ones,"" ""Day hunnids,"" ""Circle small.""",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,
Sports References,"""Shooting like Curry,"" ""Ballin' like Kobe,"" ""Moving like a GM,"" ""Draft day.""",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,
Dining & Lifestyle,"Nobu, Catch, Carbone, ""Private Chefs,"" Flying Private (PJ).","The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.",
Weaponry,"Glock, Draco, ""Stick,"" ""Pole,"" ""30-round clip,"" ""Laser.""","Used as metaphors for protection or aggression within the ""Drill"" subgenre.",
Real Estate,"Penthouse, Gated Community, ""The Hills,"" ""Buying the block back.""","Represents the final stage of success: leaving the ""hood"" and investing in property.",
Tricking / Providing,"""Trickin' off,"" ""Sponsorship,"" ""Pay the rent,"" ""Bagging her,"" ""Allowance.""","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.",
Cosmetic Surgery,"""BBL"" (Brazilian Butt Lift), ""Turks & Caicos"" (surgery recovery spot), ""New body,"" ""Doctor Shopping.""",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,
Luxury Accessories,"Birkin Bag (Hermès), Kelly Bag, Chanel, ""Red Bottoms"" (Louboutin), ""Chinchilla.""","These specific items are often the ""currency"" used in tricking or gifting.",
"The ""Simp"" vs. ""Pimp""","""Captain Save-a-Hoe,"" ""Simpin',"" ""Pimpin' ain't easy,"" ""Main squeeze"" vs. ""Side piece.""","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).",
Travel & Logistics,"""G5"" (Gulfstream jet), ""First Class,"" ""Passport stamps,"" ""Exotic locations,"" ""Villas.""","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.",
High-End Retail,"Saks Fifth Avenue, Neiman Marcus (""Nee-mees""), Barneys, Rodeo Drive.","Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.",
Hospitality / Clubs,"""Bottle Service,"" ""Section,"" ""Rain on 'em,"" ""Making it rain,"" ""Starlets"" (NYC club).",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,
"The ""Glow Up""","""Transformation,"" ""Used to have nothing,"" ""Now we on,"" ""Upgrade.""",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,
Discretion,"""NDA,"" ""No cameras,"" ""Keep it low,"" ""Deleted the footage.""","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.",
,,,Typical Lyric Motif
Tricking,Paying for access or attention; often transactional.,"Someone the rapper just met or a ""video vixen.""","""I don't even know her name, I just bought the bag."""
Spoiling,"Rewarding loyalty or ""holding it down"" during the struggle.","The ""Day One"" partner or ""Main Chick.""","""She was with me in the gym, now she in the Birkin store."""
Finessing,Extracting resources through charm or deception.,"The ""Mark"" or the ""Trick"" (the person paying).","""I told him I need rent, but I went and bought some 'ccent (accent) jewelry."""
Sponsorship,Long-term financial backing in exchange for a lifestyle.,"An ""Instagram Model"" or socialite.","""Monthly allowance,"" ""Signed the lease in my name."""
Agenda Category,The Core Objective,Key Themes & Lyrics,Common Jargon / Specifics
The Industry Agenda,Questioning the authenticity of an artist’s rise to fame.,"""Industry Plants,"" ""Selling your soul,"" rigged awards (Grammys).","""Owned my masters,"" 360 Deals, ""The Label,"" Clout chasing."
The Social/Political Ada,"Critiquing or exposing the ""unseen"" forces in society.","Systemic oppression, ""The Matrix,"" Government surveillance.","""The 1%,"" Big Pharma, ""New World Order,"" Illuminati."
The Male Agenda,"Asserting dominance, detachment, and ""High Value"" status.","Financial dominance over women, emotional coldness, ""City Boys Up.""","""High Value Man,"" ""Rotation,"" ""Humble her,"" ""Freebandz lifestyle."""
The Female Agenda,"Prioritizing self-gain, ""leveling up,"" and financial extraction.","""City Girls,"" Manifestation, using men for resources, independence.","""Level up,"" ""BBL,"" ""Scamming,"" ""Secure the bag,"" ""High maintenance."""
The Spiritual/Esoteric Ada,"Seeking enlightenment and battling ""negative energy.""","Opening the ""Third Eye,"" Ancestral protection, Spiritual warfare.","""Vibrations,"" ""Frequency,"" ""Ego death,"" ""The Alchemist,"" ""Aura."""
The Conspiracy Ada,Believing in hidden hand behind world events.,"Population control, ""Digital Dollars,"" escaping the system.","""Red pill,"" ""Glitch in the Matrix,"" ""Sheep,"" ""The Puppet Masters."""
,,,
,,,
,,,
