Theme Category,Common Jargon / Brands,Meaning & Cultural Context,Rap Lyric Example
Luxury Horology,"Rolex, AP, Patek Philippe, Richard Mille, Cartier (""Cartis"")","Signals a transition from ""street rich"" to ""wealthy."" Highlights the difference between a ""Bust Down"" (diamond-set) and ""Plain Jane"" (factory original).","""I told 'em wait, now the Patek is a Plain Jane / No diamonds needed, the stainless is the main frame."""
"The ""Hustle""","The Trap, The Kitchen, ""Water"" (diamonds/purity), ""Weight"" (bulk)",References to the drug trade as a foundation for wealth and a survival mechanism.,"""Back in the kitchen with the water, tryna make it freeze / Turned a little weight into a forest full of money trees."""
Digital Finance,"Swipe, Method, Bin, CashApp, Bitcoin, VPN, Dark Web","The evolution of street hustling into ""Scam Rap"" and digital white-collar crime.","""Got the VPN active, I'm just looking for the bin / Hit the method once, then I do it all again."""
High Fashion,"Rick Owens, Maison Margiela, Chrome Hearts, Celine, Saint Laurent","Moving beyond ""mall brands"" to avant-garde, high-couture ""drip"" to signal elite status.","""Rick Owens on the coat, Margiela on the toes / I’m really in the high-end, you still in the mall clothes."""
Footwear,"Jordan 1s, Yeezys, ""Red Bottoms"" (Louboutin), Bape Stas","The backbone of rap fashion; ""Red Bottoms"" usually refers to high-end heels for women.","""She want the Red Bottoms just to walk across the club / I'm in the Bape Stas, showing 'em no love."""
Ops & Conflict,"Opps (Opposition), Drilling, Spinning the block, Smoke (conflict)",The reality of neighborhood rivalries and the constant physical dangers of fame.,"""They talking 'bout smoke 'til we spinning on the block / Keep the windows rolled up when we're dodging the op."""
Legal & Prison,"Indictment, RICO act, The Feds, Lawyer fees, Going ""Up Top""",The constant threat of the legal system; used to highlight the high stakes of the lifestyle.,"""Lawyer fees heavy, fighting off a RICO charge / It’s hard to stay humble when the feds are at the garage."""
The Boardroom,"LLC, Equity, The Advance, Quarterly Reports, Tax Write-off","The ""Mogul"" mindset; shifting from street spending to long-term financial legacy and ownership.","""Signed the deal, kept the equity, I'm feeling like a pro / That new Lambo is a write-off for the brand, don't you know?"""
Business vs. Street,"The Phone Call, The Taxman, Offshore accounts, Audits","The identity crisis of switching between ""Street"" talk with friends and ""Corporate"" talk with CEOs.","""I’m switching up the lingo when the CEO calls / Then it’s back to the block, stashing cash in the walls."""
"The ""Sponsorship""","Tag Me, Direct Deposit, Maintenance (Hair/Nails/Gym)","Maintaining the ""Mogul"" image by paying for a partner's upkeep to ensure they look like a ""Trophy.""","""Sent the direct deposit just to keep her hair right / 'Tag me in the post' so they see the lifestyle's tight."""
Theme Category,Common Jargon / Brands,Meaning & Cultural Context,Rap Lyric Example (Original)
Digital Finance,"Swipe, Method, Bin, CashApp, VPN, Dark Web",The evolution of the street hustle into digital white-collar crime6.,"""Got the VPN active, I'm just looking for the bin / Hit the method once, then I do it all again."""
Surveillance,"Ghetto Birds, Wire, Bug, 12, The Feds",Paranoia regarding the government (RICO act) and wiretaps7777.,"""Ghetto birds in the sky, I think they got the wire / Keep the talk low-key, don't set the house on fire."""
Discretion,"NDA, No Cameras, Deleted Footage, Safe House","The need for privacy when living a high-stakes or ""tricking"" lifestyle8888.","""She had to sign the NDA before she hit the stairs / No cameras in the safe house, we keep it in the layers."""
Digital Footprints,"Burners, VPN/Tor, Encrypted, Signal/Telegram",Staying off the grid to avoid self-incrimination via social media999.,"""Switching out the SIM, keep the chat on the Signal / The Feds in the comments, trying to make it all digital."""
Theme Category,Common Jargon / Brands,Meaning & Cultural Context,Rap Lyric Example (Original)
Tricking,"Sponsorship, Allowance, Pay the rent, ""Bagging her""",Paying for access or attention; often transactional with models/vixens10101010.,"""I don't even know her name, I just bought the bag / Sent the rent via CashApp, that’s a sponsorship brag."" 11"
"The ""Male Agenda""","High Value, Rotation, City Boys Up, Humble her","Asserting dominance, financial power over women, and emotional detachment1212.","""High value man, keep a rotation on the coast / City Boys Up, that’s the only thing I post."""
"The ""Female Agenda""","BBL, Level up, Secure the bag, Princess treatment","Prioritizing self-gain, using beauty as currency (Face Card), and ""finessing""1313131313131313.","""Face card never declines, I need the princess treatment / Leveling up on him, I don’t care about the agreement."""
Club Dynamics,"Section, Bottle Service, The Rope, The Parade",Using the VIP section as a temporary kingdom to show dominance14.,"""Standing on the couch, watch the parade coming through / 20 bottles of the Ace, just to show 'em what I do."""
Theme Category,Common Jargon / Brands,Meaning & Cultural Context,Rap Lyric Example (Original)
The Corporate Ada,"Masters, 360 Deal, Equity, LLC, Tax Write-off","Moving away from ""jewelry"" and toward owning the means of production15151515.","""That new Lambo is a write-off, call it business expense / Owning all my masters, now the royalty is immense."""
Generational Wealth,"Trust funds, Portfolios, Land, REITs","Modern rap focuses on ""owning it all"" rather than ""spending it all""16161616.","""Setting up the trust fund before the kid can walk / Buying back the block, that’s the only way we talk."""
"The ""Fixer""","The Lawyer, Accountant, The Jeweler, The Chef",The professional inner circle required to maintain a Mogul's lifestyle17171717.,"""Accountant on the line, he say I’m spending too much / I told him check the equity, I got the Midas touch."""
