song,artist,album,producer,release_date,featured_artist,line_index,section,active_artist,text,primary_tone,secondary_tone,flow_vector,rhyme_word,rhyme_class,syllable_count,stress_density,source
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",1,Intro,Lil Baby & Gunna,"Ice VVs (Ice, ice), ice VS1s (Ice VS1s)",confident,,13|0.5|1,s,way,12,1.0,definitions
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",2,Intro,Lil Baby & Gunna,"Off-White, Vlone 1's, foreigns parked in my lawn",confident,,13|0.67|2,lawn,way,10,0.8,definitions
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",3,Intro,Lil Baby & Gunna,"Them 40s come with drums, I like my bitches blonde",confident,,14|0.69|3,blonde,way,11,0.909090909090909,definitions
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",4,Intro,Lil Baby & Gunna,"Wockhardt give me the runs, don't none of my hoes wear Uggs",confident,,15|0.8|37,uggs,way,13,0.846153846153846,definitions
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",5,Intro,Lil Baby & Gunna,"If you go on a hit, you can't call off, name hold weight, can't raw dog",confident,,17|0.94|38,dog,way,16,0.9375,definitions
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",6,Intro,Lil Baby & Gunna,"Off Percs and X, can't nod off, if I call you the plug, you can't fall off",confident,,17|1.0|39,off,way,17,0.882352941176471,definitions
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",7,Verse 1,Gunna,"Coupe from outer space (Shh), trust me, I'm okay (I'm okay)",confident,,16|0.67|7,okay,way,13,0.923076923076923,definitions
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",8,Verse 1,Gunna,Buy Hi-Tech pints by the case (By the case),paranoid,anxious,12|0.83|8,case,way,10,0.8,definitions
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",9,Verse 1,Gunna,You can tell they Chanel by the lace (Tell they Chanel),confident,,14|0.79|9,chanel,way,13,0.769230769230769,definitions
Off White VLONE,Lil Baby & Gunna,Drip Harder,Turbo,2018-10-05,"Lil Durk, NAV",10,Verse 1,Gunna,You could tell it's a bale by the weight (By the weight),confident,,13|0.92|10,weight,way,12,0.75,definitions
