term,definition,register,authority_requirement,exposure_cost,cultural_specificity,era_scene,usage_mode,overuse_penalty,replacement_if_blocked,notes
Category,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Luxury Horology,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Hustle""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Digital Finance,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
High Fashion,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Footwear,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Ops"" & Conflict",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Legal & Prison,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Geography,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Vice & Substances,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Loyalty & Betrayal,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Sports References,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Dining & Lifestyle,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Weaponry,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Real Estate,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Tricking / Providing,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Cosmetic Surgery,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Luxury Accessories,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Simp"" vs. ""Pimp""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Travel & Logistics,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
High-End Retail,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Hospitality / Clubs,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Glow Up""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Discretion,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Tricking,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Spoiling,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Finessing,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Sponsorship,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Agenda Category,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Industry Agenda,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Social/Political Ada,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Male Agenda,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Female Agenda,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Spiritual/Esoteric Ada,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Conspiracy Ada,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Corporate Ada,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
