term,definition,register,authority_requirement,exposure_cost,cultural_specificity,era_scene,usage_mode,overuse_penalty,replacement_if_blocked,notes
Common Themes / Specific Terms,Cultural Significance,coded,earned,0.6,scene,modern,implication,0.7,,"Category motif; used when implying status through context, not declaration."
Rolex,"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Horology motif; used when implying status through context, not declaration."
AP (Audemars Piguet),"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Horology motif; used when implying status through context, not declaration."
Patek Philippe,"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Horology motif; used when implying status through context, not declaration."
Richard Mille,"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Horology motif; used when implying status through context, not declaration."
"Cartier (""Cartis"").","Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Horology motif; used when implying status through context, not declaration."
The Trap,References to the drug trade as a survival mechanism or a foundation for wealth.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Hustle"" motif; used when implying status through context, not declaration."
The Kitchen,References to the drug trade as a survival mechanism or a foundation for wealth.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Hustle"" motif; used when implying status through context, not declaration."
"""Water"" (diamonds or high purity)",References to the drug trade as a survival mechanism or a foundation for wealth.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Hustle"" motif; used when implying status through context, not declaration."
"""Weight"" (bulk product).",References to the drug trade as a survival mechanism or a foundation for wealth.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Hustle"" motif; used when implying status through context, not declaration."
Swipe,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.",coded,earned,0.6,scene,modern,implication,0.7,,"Digital Finance motif; used when implying status through context, not declaration."
Method,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.",coded,earned,0.6,scene,modern,implication,0.7,,"Digital Finance motif; used when implying status through context, not declaration."
Bin,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.",coded,earned,0.6,scene,modern,implication,0.7,,"Digital Finance motif; used when implying status through context, not declaration."
CashApp,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.",coded,earned,0.6,scene,modern,implication,0.7,,"Digital Finance motif; used when implying status through context, not declaration."
Bitcoin,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.",coded,earned,0.6,scene,modern,implication,0.7,,"Digital Finance motif; used when implying status through context, not declaration."
"""The Dark Web","""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.",coded,earned,0.6,scene,modern,implication,0.7,,"Digital Finance motif; used when implying status through context, not declaration."
""" VPN.","""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.",coded,earned,0.6,scene,modern,implication,0.7,,"Digital Finance motif; used when implying status through context, not declaration."
Rick Owens,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""",coded,earned,0.6,scene,modern,implication,0.7,,"High Fashion motif; used when implying status through context, not declaration."
Maison Margiela,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""",coded,earned,0.6,scene,modern,implication,0.7,,"High Fashion motif; used when implying status through context, not declaration."
Chrome Hearts,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""",coded,earned,0.6,scene,modern,implication,0.7,,"High Fashion motif; used when implying status through context, not declaration."
Celine,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""",coded,earned,0.6,scene,modern,implication,0.7,,"High Fashion motif; used when implying status through context, not declaration."
Saint Laurent.,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""",coded,earned,0.6,scene,modern,implication,0.7,,"High Fashion motif; used when implying status through context, not declaration."
Jordan 1s,"Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.",coded,earned,0.6,scene,modern,implication,0.7,,"Footwear motif; used when implying status through context, not declaration."
Yeezys,"Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.",coded,earned,0.6,scene,modern,implication,0.7,,"Footwear motif; used when implying status through context, not declaration."
"""Red Bottoms"" (Christian Louboutin)","Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.",coded,earned,0.6,scene,modern,implication,0.7,,"Footwear motif; used when implying status through context, not declaration."
Bape Stas.,"Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.",coded,earned,0.6,scene,modern,implication,0.7,,"Footwear motif; used when implying status through context, not declaration."
Opps (Opposition),The reality of neighborhood rivalries and the dangers of fame.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration."
"""Drilling",The reality of neighborhood rivalries and the dangers of fame.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration."
